Name,Avenzur Code,old names,Barcode Symbology,Brand,Retaj Code
Nivea Men Antiperspirant Roll On For Men 48H Protection Deep Black Carbon Antibacterial Woody Scent 50 Ml,42355182,"NIVEA MEN Antiperspirant Roll-on for Men, 48h Protection, DEEP Black Carbon Antibacterial, Woody Scent, 50ml",code25,Nivea,42355182
Alcohol Swab 200 Pads Box,111000069,Alcohol Swab 200p Box,code128,Alcohol,111000069
Avalon Urea Cream 100 Ml,111000217,Avalon Urea Cream 100ml,code128,Avalon,111000217
Avalon Vaginal Douche,111000218,Avalon Vaginal  Douche,code128,Avalon,111000218
Sebamed Baby Diaper Rash Cream 100 Ml,111000242,SM Baby Diaper Rash Cream 100ml,code128,Sebamed,111000242
Beauty Hair Cap 4770,111000261,Beauty Hair Cap 4770,code128,Beauty,111000261
Biolys Aero Digest 24 Cap,111000337,Biolys Aero Digest 24 cap,code128,Biolys,111000337
Butalin 4Mg 20 Tab,111000368,Butalin 4mg 20tab,code128,Butalin,111000368
Calciton 30 Tab,111000385,Calciton 30 Tabs,code128,Calciton,111000385
Canderel 300 Tab (Red Pack),111000396,Canderel 300 Tablets (Red Pack),code128,Canderel,111000396
Cetaphil Moistrizing Cream 100 Ml,111000468,Cetaphil  Moistrizing Cream 100ml,code128,Cetaphil,111000468
Arkopharma Charbon cap 45 Pcs,111000476,Arkopharma-Charbon Capsule 45 pcs,code128,Arko Pharma,111000476
Chlorohistol 4 Mg 20 Tab,111000480,Chlorohistol 4mg 20tab,code128,Chlorohistol,111000480
Deep Heat Rub 35 Gm,5011501040117,Deep Heat Rub 35gm,code128,Deep Heat,111000662
Deep Heat Spray 150 Ml,111000664,Deep Heat Spray 150 ml,code128,Deep Heat,111000664
Digestyl 60 Caps,111000736,Digestyl 60 caps,code128,Digestyl,111000736
Feldene 20 Mg Disp 10 Tab,111000907,Feldene 20mg disp10tab,code128,Feldene,111000907
Feroglobin Caps,111000923,Feroglobin caps,code128,Feroglobin,111000923
Feroglobin 30 Caps,5021265231140,Feroglobin Capsule 30 Cap,code128,Feroglobin,111000923
Fevadol 350 Mg 10 Supp,111000935,Fevadol 350mg suppos,code128,Fevadol,111000935
Lymola Deo-Sept 250 Ml,111001405,Lymola Deo-Sept  250ml,code128,Lymola,111001405
Marnys Neocarbon Act Charl 30 Cap,111001416,Marnys Neocarbon Act Charl 30 Cap,code128,Marnys,111001416
Motilium Syrup 200 Ml,111001517,Motilium Syrup 200ml,code128,Motilium,111001517
Neurotone 30 Tab,111001581,Neurotone 30 tab,code128,Neurotone,111001581
Nicotinell 20 Mg Patch 7 Pcs,111001594,Nicotinell 20 mg Patch 7pcs,code128,Nicotinell,111001594
Osteocare Calcium 30 Tab,111001729,Osteocare Calcium 30 tab,code128,Osteocare,111001729
Oystercal 500 Mg 60 Tab,111001748,Oystercal 500mg 60 Tab,code128,Oystercal,111001748
Pharmaton 30 Tab,111001807,Pharmatone 30 tabs,code128,Pharmaton,111001807
Propolsaft Syrup 125Ml,111001888,Propolsaft Syrup 125ml,code128,Propolsaft,111001888
Songha Night 30 Tab,111002161,Songha Night  30 Tab,code128,Songha,111002161
Sudocream Diaper Rash Cream 125 Gm,111002191,Sudocrem Diaper Rash Cream 125 gm,code128,Sudocream,111002191
Sudocream Cream 125 Gm,5011025044004,Sudocream 125gm cream,code128,Sudocream,111002191
Sudo Cream 250 Gm,111002192,Sudo 250gm cream,code128,Sudo,111002192
Sudocream Cream 250 Gm,5011025045001,Sudocream 250gm cream,code128,Sudocream,111002192
Marnys Korean Ginsen 30 Cap (Ginsofort),111002522,Marnys Korean Ginsen 30Cap (Ginsofort),code128,Marnys,111002522
Marnys Espiginjal 30S,111002566,Marnys Espiginjal 30s,code128,Marnys,111002566
Marnys Ginseng 1000 Mg 30Cap,111002879,Marnys Ginseng 1000mg 30Cap,code128,Marnys,111002879
Bio Garlic 60 Tab,111002881,Bio-Garlic 60 Tab,code128,Bio Garlic,111002881
Bio Fiber 60 Tab,111002882,Bio-Fiber 60 Tab,code128,Bio Fiber,111002882
Marnys Circulmar Garlic Oil 60 Cap 50033,111002938,Marnys Circulmar Garlic Oil 60 Cap 50033,code128,Marnys,111002938
Calcitron 20 Cap,111002966,Calcitron Caps 20 s,code128,Calcitron,111002966
Gengigel Baby Tube 15 Ml,111003012,Gengigel Baby Tube 15ml,code128,Gengigel,111003012
Mebo Scar Ointment 30 Gm,111003089,Mebo Scar Ointment 30 gm,code128,Mebo,111003089
Gengigel Adult Tube 20 Ml,111003129,Gengigel Adult Tube 20ml,code128,Gengigel,111003129
Gengigel Spray 20 Ml,111003130,Gengigel Spray 20ml,code128,Gengigel,111003130
Vitabiotics Aquamarine 2 In 1 Omega 3 & Cod Liver Oil 60 caps,111003220,Vitabiotics Aquamarine 2-in-1 Omega 3 & Cod Liver Oil 60 Capsules,code128,Vitabiotics,111003220
Savy Syrup 100 Ml,111003279,Savy Syrup 100ml,code128,Savy,111003279
Cetaphil Gentle Cleansing 125 Gm (Bar),111003309,Cetaphil Gentle Cleansing 125g (Bar),code128,Cetaphil,111003309
Biofreeze Spray 118 Ml,111003343,Biofreeze Spray 118ml,code128,Biofreeze,111003343
Caltrate 600 With Vitamin D Plus 60 Tab,111003455,Caltrate 600 With Vitamin D Plus-60 Tabs,code128,Caltrate,111003455
Tussipan Plus Syrup 150 Ml,111003508,Tussipan Plus Syrup 150ml,code128,Tussipan,111003508
Bronchicare Plus Syrup,111003559,Bronchicare Plus Syrup,code128,Bronchicare,111003559
Ferro 28 Mg 60Cap,111003601,Ferro 28mg 60Cap,code128,Ferro,111003601
Systane Gel Drops 10 Ml,111003668,Systane Gel Drops 10 ml,code128,Systane,111003668
Cetaphil Gentle Skin Cleanser 236 Ml,111003689,Cetaphil Gentle Skin Cleanser 236ml,code128,Cetaphil,111003689
Aqualyte Oral Solution Apple Taste 240 Ml,111003699,Aqualyte Oral Solution Apple Taste 240ml,code128,Aqualyte,111003699
Mugesic Muscle Pain Relief Cream 100 Gm,111003735,Mugesic Muscle Pain Relief Cream 100g,code128,Mugesic,111003735
Jamieson Melatonin 3 Mg 100 Tab,111003741,Jamieson Melatonin 3mg 100Tab,code128,Jamieson,111003741
Pregnata Multivitamin For Women 30 caps,111003752,Pregnata Multivitamin For Women 30 Capsules,code128,Pregnata,111003752
Vismed 0.3% Eye Gel 20 Pcs,111003761,Vismed 0.3% Eye Gel 20 Pcs,code128,Vismed,111003761
Tums Extra Strength 750 48 Tab,6805699957734,Tums Extra Strength 750 48 tab,code128,Tums,111003816
Centrum Energy 30 Tab,111003818,Centrum Energy 30 tab,code128,Centrum,111003818
Septofort Lozenges Ginger & Honey & Lemon 2 Mg 24 Pcs,111003842,Septofort Lozenges Ginger&Honey&Lemon 2 mg 24 Pcs,code128,Septofort,111003842
Arthriflex Cream 100 Gm,111003848,Arthriflex Cream 100gm,code128,Arthriflex,111003848
Omega Cod 60 Caps,111003997,Omegacod 60 caps,code128,Omega,111003997
Jamieson Magnesium 100 Mg 100 Tab,111004003,Jamieson Magnesium 100mg 100 tab,code128,Jamieson,111004003
Jamieson Melatonin Fast Dissolving 3 Mg 100 Tab,111004008,Jamieson Melatonin Fast Dissolving 3mg 100 TAB,code128,Jamieson,111004008
Jamieson Green Tea Plus Acv 90 Caps,111004011,Jamieson Green Tea Plus Acv 90 caps,code128,Jamieson,111004011
Jamieson Relaxing Herbal Formula 30 Caps,111004012,Jamieson Relaxing Herbal Formula 30 caps,code128,Jamieson,111004012
Hemagel Procto 10 Supp,111004037,Hemagel Procto 10s,code128,Hemagel,111004037
Jamieson Vitamin C 1000 100 Tab,111004052,Jamieson Vitamin c 1000 100tab,code128,Jamieson,111004052
Enterogermina 12 Caps,111004055,Enterogermina 12 Caps,code128,Enterogermina,111004055
