"Product Code","Product Name",Batch,Expiry,Balance,"Purchase Price","Sale Price","Item Cost","Total Cost","Total Sale Price"
00300020020249,"Prozac 20mg caps bx/28",1146698,2025-11-30,2,0,99.35,99.35,198.7,198.7
00300020020249,"Prozac 20mg caps bx/28",vn329a,0000-00-00,0,0,99.35,99.35,99.35,99.35
00300020020249,"Prozac 20mg caps bx/28",tf8v,0000-00-00,0,0,99.35,99.35,99.35,99.35
00300020020447,"Zyprexa 5mg tabs bx/28",1145473,2025-02-01,1,0,199.08,169.01,169.01,199.08
00300020020447,"Zyprexa 5mg tabs bx/28",154179,0000-00-00,0,0,199.08,169.01,169.01,199.08
00300020020478,"Zyprexa 10 mg 28 tab",1146696,2025-02-01,1,0,310.10,270.03,270.03,310.1
00300020020478,"Zyprexa 10 mg 28 tab",154179,0000-00-00,0,0,310.10,270.03,270.03,310.1
00300020020515,"Cialis Once - A - Day 5 mg 28 Tab",d530812,2025-02-01,28,0,229.90,229.90,6437.2,6437.2
00300020020515,"Cialis Once - A - Day 5 mg 28 Tab",yn0040,0000-00-00,0,0,229.90,229.90,229.9,229.9
00300020020546,"Cymbalta 60mg caps bx/28",1145484,2024-02-01,1,0,112.40,97.74,97.74,112.4
00300020020546,"Cymbalta 60mg caps bx/28",221105,0000-00-00,0,0,112.40,97.74,97.74,112.4
00300650629034,"Maxitrol Eye Drops 5ml",2nez1a,2024-07-31,0,0,11.55,9.63,9.63,11.55
00300650629034,"Maxitrol Eye Drops 5ml",k3590,0000-00-00,0,0,11.55,9.63,9.63,11.55
00300650629034,"Maxitrol Eye Drops 5ml",2lzd1a,2024-05-31,5,0,11.55,9.63,48.15,57.75
00300650629034,"Maxitrol Eye Drops 5ml",nt69k00s1,0000-00-00,0,0,11.55,9.63,9.63,11.55
00301320005257,"Fleet enema adult 45oz",2212398,2024-11-25,0,0,10.00,8.33,8.33,10
00301320005257,"Fleet enema adult 45oz",tly32,0000-00-00,0,0,10.00,8.33,8.33,10
00301320005264,"Fleet enema children 225oz",2215896,2024-12-25,0,0,9.32,7.76,7.76,9.32
00301320005264,"Fleet enema children 225oz",tly32,0000-00-00,0,0,9.32,7.76,7.76,9.32
00366582500049,"Arcoxia 120mg 7 tab",w023544,2025-04-30,6,0,18.60,18.60,111.6,111.6
00366582500049,"Arcoxia 120mg 7 tab",221105,0000-00-00,0,0,18.60,18.60,18.6,18.6
00366582500063,"Arcoxia 90mg 28 tab",w024913,2025-05-31,8,0,74.40,74.40,595.2,595.2
00366582500063,"Arcoxia 90mg 28 tab",221105,0000-00-00,0,0,74.40,74.40,74.4,74.4
00366582500513,"Marvelon tabs box/21",w035976,2025-06-30,0,0,14.60,14.60,14.6,14.6
00366582500513,"Marvelon tabs box/21",k2786,0000-00-00,0,0,14.60,14.60,14.6,14.6
00366582500513,"Marvelon tabs box/21",w016546,2025-02-01,29,0,14.60,14.60,423.4,423.4
00366582500513,"Marvelon tabs box/21",0437,0000-00-00,0,0,14.60,14.60,14.6,14.6
00366582500513,"Marvelon tabs box/21",w023522,2025-03-01,20,0,14.60,14.60,292,292
00366582500513,"Marvelon tabs box/21",2r5v,0000-00-00,0,0,14.60,14.60,14.6,14.6
00366582501176,"Cosopt Eye Drops 5ml",w038967,2024-09-01,6,0,46.55,46.55,279.3,279.3
00366582501176,"Cosopt Eye Drops 5ml",221105,0000-00-00,0,0,46.55,46.55,46.55,46.55
00366582501176,"Cosopt Eye Drops 5ml",yn0040,0000-00-00,0,0,46.55,46.55,46.55,46.55
00366582501275,"Propecia 1mg Film Coated Tablet",w038415,2024-06-30,1,0,146.68,127.55,127.55,146.68
00366582501275,"Propecia 1mg Film Coated Tablet",154179,0000-00-00,0,0,146.68,127.55,127.55,146.68
00366582505556,"Elocom 0.1% ointment 30gm/tube",x007505,2026-02-28,3,0,19.95,16.43,49.29,59.85
00366582505556,"Elocom 0.1% ointment 30gm/tube",233,0000-00-00,0,0,19.95,16.43,16.43,19.95
00366582505556,"Elocom 0.1% ointment 30gm/tube",k2786,0000-00-00,0,0,19.95,16.43,16.43,19.95
00610644193114,"Dorofen 500/50 90 caps",2431021,2024-02-01,1,0,81.90,81.90,81.9,81.9
00610644193114,"Dorofen 500/50 90 caps",2420323,2026-02-01,3,0,81.90,81.90,245.7,245.7
00610644193114,"Dorofen 500/50 90 caps",tly32,0000-00-00,0,0,81.90,81.90,81.9,81.9
00610644193121,"Dorofen 500/50 mg Caps 40cap",2401122,2025-10-31,6,0,36.40,36.40,218.4,218.4
00610644193121,"Dorofen 500/50 mg Caps 40cap",233,0000-00-00,0,0,36.40,36.40,36.4,36.4
00610644196016,"Gentaplex Caps 36  cap / pk",1050822,2024-07-31,1,0,186.69,164.35,164.35,186.69
00610644196016,"Gentaplex Caps 36  cap / pk",tly32,0000-00-00,0,0,186.69,164.35,164.35,186.69
00766961306512,"Essential D 10000 IU 60 Caps",23d041-1,2025-04-01,2,0,38.45,25.23,50.46,76.9
00766961306512,"Essential D 10000 IU 60 Caps",tly32,0000-00-00,0,0,38.45,25.23,25.23,38.45
00766961411797,"Essential d3 50000 iu  12 caps",23d042-1,2025-04-01,14,0,38.45,38.45,538.3,538.3
00766961411797,"Essential d3 50000 iu  12 caps",tly32,0000-00-00,0,0,38.45,38.45,38.45,38.45
03499320003551,"Differen 0.1% 30gm gel",1051252,2024-07-31,0,0,18.75,18.75,18.75,18.75
03499320003605,"Differen 30gm cream",2074264,2025-09-30,5,0,18.75,18.75,93.75,93.75
03499320003605,"Differen 30gm cream",tly32,0000-00-00,0,0,18.75,18.75,18.75,18.75
03499320005807,"Etrivex 05 % Shampoo 125 ML",2114266,2025-10-31,5,0,60.55,60.55,302.75,302.75
03499320005807,"Etrivex 05 % Shampoo 125 ML",tly32,0000-00-00,0,0,60.55,60.55,60.55,60.55
03574661047485,"Regaine 5% Topical Solution 60ml /bottle",7514,2024-01-01,12,0,86.35,74.23,890.76,1036.2
03574661047485,"Regaine 5% Topical Solution 60ml /bottle",ac0140,0000-00-00,0,0,86.35,74.23,74.23,86.35
03574661047485,"Regaine 5% Topical Solution 60ml /bottle",07514,2024-02-01,2,0,86.35,74.23,148.46,172.7
03574661047485,"Regaine 5% Topical Solution 60ml /bottle",154179,0000-00-00,0,0,86.35,74.23,74.23,86.35
03574661089591,"Imodium Instants 2mg 6 cap",21v1941,2024-08-01,5,0,12.40,10.33,51.65,62
03574661089591,"Imodium Instants 2mg 6 cap",211q192,2026-08-01,0,0,12.40,10.33,10.33,12.4
03574661089591,"Imodium Instants 2mg 6 cap",tly32,0000-00-00,0,0,12.40,10.33,10.33,12.4
03574661226446,"Tylenol 100mg 10suppos",23aq102,2024-12-01,5,0,10.15,10.15,50.75,50.75
03574661226446,"Tylenol 100mg 10suppos",154179,0000-00-00,0,0,10.15,10.15,10.15,10.15
03574661226453,"Tylenol 200mg 10suppos",22kq176,2024-10-01,5,0,11.40,8.28,41.4,57
03574661226453,"Tylenol 200mg 10suppos",154179,0000-00-00,0,0,11.40,8.28,8.28,11.4
03574661228853,"Nizoral Shampoo 100ml",meb1g00,2024-02-01,15,0,30.55,30.55,458.25,458.25
03574661228853,"Nizoral Shampoo 100ml",154179,0000-00-00,0,0,30.55,30.55,30.55,30.55
03574661228853,"Nizoral Shampoo 100ml",nt69k00s1,0000-00-00,0,0,30.55,30.55,30.55,30.55
03574661228877,"Livostin Nasal Spray 10ml",MHB2Y00,2024-02-01,6,0,33.60,33.60,201.6,201.6
03574661228877,"Livostin Nasal Spray 10ml",nt69k00s1,0000-00-00,0,0,33.60,33.60,33.6,33.6
03574661406893,"Livostin Eye Drops 4ml",2304758,2025-02-01,12,0,36.00,36.00,432,432
03574661406893,"Livostin Eye Drops 4ml",154179,0000-00-00,0,0,36.00,36.00,36,36
03574661406893,"Livostin Eye Drops 4ml",nt69k00s1,0000-00-00,0,0,36.00,36.00,36,36
03582910020912,"Rhinathiol adult syrup",752,2024-10-31,0,0,11.35,11.35,11.35,11.35
03582910020912,"Rhinathiol adult syrup",ac0140,0000-00-00,0,0,11.35,11.35,11.35,11.35
03664798044249,"Dulcolax 5mg 40 Tab",211014,2024-07-01,10,0,11.20,9.33,93.3,112
03664798044249,"Dulcolax 5mg 40 Tab",tly32,0000-00-00,0,0,11.20,9.33,9.33,11.2
03760250440021,"Esidrex  25mg 20 tab",,0000-00-00,0,0,17.25,14.38,14.38,17.25
04011548028681,"Proxen 250mg 20Tap",622s01,2024-09-30,2,0,28.57,19.53,39.06,57.14
04011548028681,"Proxen 250mg 20Tap",2uc708,0000-00-00,0,0,28.57,19.53,19.53,28.57
04027269913403,"Concor 10mg 30tab",97,2024-10-31,0,0,35.40,29.50,29.5,35.4
04027269913403,"Concor 10mg 30tab",e200518,2024-10-31,5,0,35.40,29.50,147.5,177
04027269913403,"Concor 10mg 30tab",yn0040,0000-00-00,0,0,35.40,29.50,29.5,35.4
04027269913465,"Concor 2.5mg 30tablets",e210374,2025-02-28,9,0,19.55,19.55,175.95,175.95
04027269913465,"Concor 2.5mg 30tablets",221105,0000-00-00,0,0,19.55,19.55,19.55,19.55
04027269913465,"Concor 2.5mg 30tablets",e209740,2024-11-30,10,0,19.55,19.55,195.5,195.5
04027269913465,"Concor 2.5mg 30tablets",yn0040,0000-00-00,0,0,19.55,19.55,19.55,19.55
04027269913519,"Concor 5mg 30tab",e210426,2025-03-31,12,0,29.25,29.25,351,351
04027269913519,"Concor 5mg 30tab",221105,0000-00-00,0,0,29.25,29.25,29.25,29.25
04027269913519,"Concor 5mg 30tab",e209825,2024-11-11,6,0,29.25,29.25,175.5,175.5
04027269913519,"Concor 5mg 30tab",yn0040,0000-00-00,0,0,29.25,29.25,29.25,29.25
04027269913526,"Concor 5 plus 20tab",e210122,2025-02-01,6,0,19.50,19.50,117,117
04027269913526,"Concor 5 plus 20tab",yn0040,0000-00-00,0,0,19.50,19.50,19.5,19.5
04027269913625,"Neurobion 30 Tab",339322a,2024-08-31,30,0,23.13,23.30,699,693.9
04027269913625,"Neurobion 30 Tab",2uc708,0000-00-00,0,0,23.13,23.30,23.3,23.13
04027269913625,"Neurobion 30 Tab",tf8v,0000-00-00,0,0,23.13,23.30,23.3,23.13
04027269913670,"Neurobion 3ml 10 Amp",F520,2025-11-01,4,0,45.50,45.50,182,182
04027269913670,"Neurobion 3ml 10 Amp",154179,0000-00-00,0,0,45.50,45.50,45.5,45.5
04030041001793,"Agiolax 250 gm",g2203808,2025-02-28,0,0,18.70,18.70,18.7,18.7
04030041001793,"Agiolax 250 gm",2401122,0000-00-00,0,0,18.70,18.70,18.7,18.7
04030041001793,"Agiolax 250 gm",G2300294,2025-09-30,5,0,18.70,18.70,93.5,93.5
04030041001793,"Agiolax 250 gm",221105,0000-00-00,0,0,18.70,18.70,18.7,18.7
04030041001816,"Reparil 40 Tab",b2300296,0000-00-00,-3,0,20.60,17.17,-51.51,-61.8
04030041001816,"Reparil 40 Tab",154179,0000-00-00,0,0,20.60,17.17,17.17,20.6
04030041001847,"Uralyt -  U Granules",b2301073,2025-12-31,3,0,52.10,52.10,156.3,156.3
04030041001847,"Uralyt -  U Granules",ac0140,0000-00-00,0,0,52.10,52.10,52.1,52.1
04030041001847,"Uralyt -  U Granules",154179,0000-00-00,0,0,52.10,52.10,52.1,52.1
04030041001885,"Reparil Gel N 40gm",d2203778,2025-09-30,2,0,18.45,18.45,36.9,36.9
04030041001885,"Reparil Gel N 40gm",2103880,2024-11-01,2,0,18.45,18.45,36.9,36.9
04030041001885,"Reparil Gel N 40gm",154179,0000-00-00,0,0,18.45,18.45,18.45,18.45
04030041001892,"Reparil Gel N 100gm",d2103830,2024-10-31,4,0,27.90,27.90,111.6,111.6
04030041001892,"Reparil Gel N 100gm",ac0140,0000-00-00,0,0,27.90,27.90,27.9,27.9
04030041001892,"Reparil Gel N 100gm",154179,0000-00-00,0,0,27.90,27.90,27.9,27.9
04030855450275,"Diclac 75 Mg ID 20 Tab",mp6594,2024-08-01,1,0,24.85,16.27,16.27,24.85
04030855450275,"Diclac 75 Mg ID 20 Tab",m1301,0000-00-00,0,0,24.85,16.27,16.27,24.85
04030855450275,"Diclac 75 Mg ID 20 Tab",mu0962,2024-10-30,3,0,24.85,16.27,48.81,74.55
04030855450275,"Diclac 75 Mg ID 20 Tab",tly32,0000-00-00,0,0,24.85,16.27,16.27,24.85
04031626000521,"Hylo Comod 0.1% Drops",,0000-00-00,0,0,43.15,35.96,35.96,43.15
04031626000521,"Hylo Comod 0.1% Drops",306011,2025-09-30,8,0,43.15,35.96,287.68,345.2
04031626000521,"Hylo Comod 0.1% Drops",tly32,0000-00-00,0,0,43.15,35.96,35.96,43.15
04046222312046,"Contractubex  Comp Gel 50g",B00015860,2026-10-01,5,0,28.65,23.88,119.4,143.25
04046222312046,"Contractubex  Comp Gel 50g",2633,2026-03-31,1,0,28.65,23.88,23.88,28.65
04046222312046,"Contractubex  Comp Gel 50g",211311,2026-02-01,2,0,28.65,23.88,47.76,57.3
04046222757809,"Contractubex Comp Gel 20g",211306,2026-07-31,0,0,19.65,16.37,16.37,19.65
04046222757809,"Contractubex Comp Gel 20g",211311,0000-00-00,0,0,19.65,16.37,16.37,19.65
04046222757809,"Contractubex Comp Gel 20g",221105,0000-00-00,0,0,19.65,16.37,16.37,19.65
04054839229312,"Euthyrox 25mcg 100 tab",g01n9p,2025-01-31,7,0,17.05,17.05,119.35,119.35
04054839229312,"Euthyrox 25mcg 100 tab",233,0000-00-00,0,0,17.05,17.05,17.05,17.05
04054839229312,"Euthyrox 25mcg 100 tab",k2786,0000-00-00,0,0,17.05,17.05,17.05,17.05
04054839229343,"Euthyrox 50mcg 100 tab",g01dwg,2025-01-31,13,0,22.25,22.25,289.25,289.25
04054839229343,"Euthyrox 50mcg 100 tab",tly32,0000-00-00,0,0,22.25,22.25,22.25,22.25
04054839229374,"Euthyrox 100mcg 100 tab",g01ef9,2025-02-28,23,0,31.35,26.13,600.99,721.05
04054839229374,"Euthyrox 100mcg 100 tab",tly32,0000-00-00,0,0,31.35,26.13,26.13,31.35
04054839480546,"Neurobion 30 Tab",339322a,2024-08-31,0,0,23.13,19.42,19.42,23.13
05000158065734,"Gaviscon Pepp. Liquid Syrup 200ml",ADX635,2025-08-31,22,0,12.65,10.38,228.36,278.3
05000158065734,"Gaviscon Pepp. Liquid Syrup 200ml",233,0000-00-00,0,0,12.65,10.38,10.38,12.65
05000158065734,"Gaviscon Pepp. Liquid Syrup 200ml",tly32,0000-00-00,0,0,12.65,10.38,10.38,12.65
05000158066984,"Gaviscon Sa Aniseed 200 ml",AEB877,2025-10-31,16,0,12.65,10.32,165.12,202.4
05000158066984,"Gaviscon Sa Aniseed 200 ml",233,0000-00-00,0,0,12.65,10.32,10.32,12.65
05000158068414,"Gaviscon Advance Pepp Oral Susp 300ml",aee547,2025-03-31,10,0,25.35,21.13,211.3,253.5
05000158068414,"Gaviscon Advance Pepp Oral Susp 300ml",tly32,0000-00-00,0,0,25.35,21.13,21.13,25.35
05000158068957,"Gaviscon Extra 500mg 12Tab",aeb050,2024-11-01,6,0,9.85,9.85,59.1,59.1
05000158068957,"Gaviscon Extra 500mg 12Tab",tly32,0000-00-00,0,0,9.85,9.85,9.85,9.85
05000158102903,"Strepsils Extra 24 Loz",nj247,2024-10-01,48,0,40.00,34.20,1641.6,1920
05000158102903,"Strepsils Extra 24 Loz",NL324,2024-11-01,4,0,40.00,34.20,136.8,160
05000158106772,"Strepsils Honey Lemon 36 Lozages",ng737,2025-10-01,12,0,40.00,34.20,410.4,480
05000158106789,"Strepsils Menthol 36loz",NE759,2025-09-01,48,0,38.50,34.20,1641.6,1848
05000158106925,"Strepsils Ginger Warm",nw891,2025-01-01,37,0,30.50,23.47,868.39,1128.5
05000167019391,"Strepsils Menthol 24loz",NE756,2025-09-01,55,0,32.46,29.07,1598.85,1785.3
05000167023978,"Strepsils Sugarfree loz",NG570,2025-10-01,0,0,30.32,26.08,26.08,30.32
05000456006095,"Nolvadex 10mg 30tab",sc395,2025-02-01,0,0,29.10,29.10,29.1,29.1
05000456006095,"Nolvadex 10mg 30tab",nt69k00s1,0000-00-00,0,0,29.10,29.10,29.1,29.1
05000456006101,"Seroquel 200mg 60tab",sg984,2025-09-01,9,0,220.65,220.65,1985.85,1985.85
05000456006101,"Seroquel 200mg 60tab",ac0140,0000-00-00,0,0,220.65,220.65,220.65,220.65
05000456006101,"Seroquel 200mg 60tab",154179,0000-00-00,0,0,220.65,220.65,220.65,220.65
05000456006118,"Tenormin 100mg 28 s tab",sc537,2024-02-01,5,0,28.35,23.05,115.25,141.75
05000456006118,"Tenormin 100mg 28 s tab",ac0140,0000-00-00,0,0,28.35,23.05,23.05,28.35
05000456006156,"Zestril 10mg 28tab",sc029,2024-10-01,4,0,26.00,20.51,82.04,104
05000456006156,"Zestril 10mg 28tab",154179,0000-00-00,0,0,26.00,20.51,20.51,26
05000456006194,"Zestril 5mg 28tab",sb913,2024-09-01,2,0,15.80,0.00,0,31.6
05000456006323,"Seroquel 100mg 60tab",sh138,2025-07-01,14,0,110.30,110.30,1544.2,1544.2
05000456006323,"Seroquel 100mg 60tab",ac0140,0000-00-00,0,0,110.30,110.30,110.3,110.3
