"Product Code","Product Name",Batch,Expiry,Balance,"Purchase Price","Sale Price"
00300020020249,"Prozac 20mg caps bx/28",1146698,2025-11-30,2.0000,0,99.3500
00300020020249,"Prozac 20mg caps bx/28",vn329a,0000-00-00,0.0000,0,99.3500
00300020020249,"Prozac 20mg caps bx/28",tf8v,0000-00-00,0.0000,0,99.3500
00300020020447,"Zyprexa 5mg tabs bx/28",1145473,2025-02-01,1.0000,0,199.0833
00300020020447,"Zyprexa 5mg tabs bx/28",154179,0000-00-00,0.0000,0,199.0833
00300020020478,"Zyprexa 10 mg 28 tab",1146696,2025-02-01,1.0000,0,310.1000
00300020020478,"Zyprexa 10 mg 28 tab",154179,0000-00-00,0.0000,0,310.1000
00300020020515,"Cialis Once - A - Day 5 mg 28 Tab",d530812,2025-02-01,28.0000,0,229.9000
00300020020515,"Cialis Once - A - Day 5 mg 28 Tab",yn0040,0000-00-00,0.0000,0,229.9000
00300020020546,"Cymbalta 60mg caps bx/28",1145484,2024-02-01,1.0000,0,112.4000
00300020020546,"Cymbalta 60mg caps bx/28",221105,0000-00-00,0.0000,0,112.4000
00300650629034,"Maxitrol Eye Drops 5ml",2nez1a,2024-07-31,0.0000,0,11.5500
00300650629034,"Maxitrol Eye Drops 5ml",k3590,0000-00-00,0.0000,0,11.5500
00300650629034,"Maxitrol Eye Drops 5ml",2lzd1a,2024-05-31,5.0000,0,11.5500
00300650629034,"Maxitrol Eye Drops 5ml",nt69k00s1,0000-00-00,0.0000,0,11.5500
00301320005257,"Fleet enema adult 45oz",2212398,2024-11-25,0.0000,0,10.0000
00301320005257,"Fleet enema adult 45oz",tly32,0000-00-00,0.0000,0,10.0000
00301320005264,"Fleet enema children 225oz",2215896,2024-12-25,0.0000,0,9.3167
00301320005264,"Fleet enema children 225oz",tly32,0000-00-00,0.0000,0,9.3167
00366582500049,"Arcoxia 120mg 7 tab",w023544,2025-04-30,6.0000,0,18.6000
00366582500049,"Arcoxia 120mg 7 tab",221105,0000-00-00,0.0000,0,18.6000
00366582500063,"Arcoxia 90mg 28 tab",w024913,2025-05-31,8.0000,0,74.4000
00366582500063,"Arcoxia 90mg 28 tab",221105,0000-00-00,0.0000,0,74.4000
00366582500513,"Marvelon tabs box/21",w035976,2025-06-30,0.0000,0,14.6000
00366582500513,"Marvelon tabs box/21",k2786,0000-00-00,0.0000,0,14.6000
00366582500513,"Marvelon tabs box/21",w016546,2025-02-01,29.0000,0,14.6000
00366582500513,"Marvelon tabs box/21",0437,0000-00-00,0.0000,0,14.6000
00366582500513,"Marvelon tabs box/21",w023522,2025-03-01,20.0000,0,14.6000
00366582500513,"Marvelon tabs box/21",2r5v,0000-00-00,0.0000,0,14.6000
00366582501176,"Cosopt Eye Drops 5ml",w038967,2024-09-01,6.0000,0,46.5500
00366582501176,"Cosopt Eye Drops 5ml",221105,0000-00-00,0.0000,0,46.5500
00366582501176,"Cosopt Eye Drops 5ml",yn0040,0000-00-00,0.0000,0,46.5500
00366582501275,"Propecia 1mg Film Coated Tablet",w038415,2024-06-30,1.0000,0,146.6750
00366582501275,"Propecia 1mg Film Coated Tablet",154179,0000-00-00,0.0000,0,146.6750
00366582505556,"Elocom 0.1% ointment 30gm/tube",x007505,2026-02-28,3.0000,0,19.9500
00366582505556,"Elocom 0.1% ointment 30gm/tube",233,0000-00-00,0.0000,0,19.9500
00366582505556,"Elocom 0.1% ointment 30gm/tube",k2786,0000-00-00,0.0000,0,19.9500
00610644193114,"Dorofen 500/50 90 caps",2431021,2024-02-01,1.0000,0,81.9000
00610644193114,"Dorofen 500/50 90 caps",2420323,2026-02-01,3.0000,0,81.9000
00610644193114,"Dorofen 500/50 90 caps",tly32,0000-00-00,0.0000,0,81.9000
00610644193121,"Dorofen 500/50 mg Caps 40cap",2401122,2025-10-31,6.0000,0,36.4000
00610644193121,"Dorofen 500/50 mg Caps 40cap",233,0000-00-00,0.0000,0,36.4000
00610644196016,"Gentaplex Caps 36  cap / pk",1050822,2024-07-31,1.0000,0,186.6923
00610644196016,"Gentaplex Caps 36  cap / pk",tly32,0000-00-00,0.0000,0,186.6923
00766961306512,"Essential D 10000 IU 60 Caps",23d041-1,2025-04-01,2.0000,0,38.4500
00766961306512,"Essential D 10000 IU 60 Caps",tly32,0000-00-00,0.0000,0,38.4500
00766961411797,"Essential d3 50000 iu  12 caps",23d042-1,2025-04-01,14.0000,0,38.4500
00766961411797,"Essential d3 50000 iu  12 caps",tly32,0000-00-00,0.0000,0,38.4500
03499320003551,"Differen 0.1% 30gm gel",1051252,2024-07-31,0.0000,0,18.7500
03499320003605,"Differen 30gm cream",2074264,2025-09-30,5.0000,0,18.7500
03499320003605,"Differen 30gm cream",tly32,0000-00-00,0.0000,0,18.7500
03499320005807,"Etrivex 05 % Shampoo 125 ML",2114266,2025-10-31,5.0000,0,60.5500
03499320005807,"Etrivex 05 % Shampoo 125 ML",tly32,0000-00-00,0.0000,0,60.5500
03574661047485,"Regaine 5% Topical Solution 60ml /bottle",7514,2024-01-01,12.0000,0,86.3500
03574661047485,"Regaine 5% Topical Solution 60ml /bottle",ac0140,0000-00-00,0.0000,0,86.3500
03574661047485,"Regaine 5% Topical Solution 60ml /bottle",07514,2024-02-01,2.0000,0,86.3500
03574661047485,"Regaine 5% Topical Solution 60ml /bottle",154179,0000-00-00,0.0000,0,86.3500
03574661089591,"Imodium Instants 2mg 6 cap",21v1941,2024-08-01,5.0000,0,12.4000
03574661089591,"Imodium Instants 2mg 6 cap",211q192,2026-08-01,0.0000,0,12.4000
