 رقم الصنف , اسم الصنف,نسبة العمولة,قيمة العمولة, اخر سعر البيع ,قيمة العمولة , من تاريخ,الي تاريخ
111000124,Anazol 500mg  20 tab,5,0,14.85,0.74,1/1/2024,31/12/24
111000198,Avalon Avocaine 10% Spray 50ml,5,0,24.45,1.22,1/1/2024,31/12/24
111000210,Avalon salinose Adults Nasal Spray 30ml,5,0,40,2,1/1/2024,31/12/24
111000211,Avalon Salinose Baby Nasal Drops 20ml,5,0,34,1.7,1/1/2024,31/12/24
111000213,Avalon Salinose N/Spray Plus 20ml,5,0,39,1.95,1/1/2024,31/12/24
111000217,Avalon Urea Cream 100ml,5,0,51,2.55,1/1/2024,31/12/24
111000226,Avalon Avocom 0.1% Cream 30g,5,0,16.95,0.85,1/1/2024,31/12/24
111000227,Avalon Avocom 0.1% Ointment 30g,5,0,14.35,0.72,1/1/2024,31/12/24
111000234,Azimac 250mg 6 Tabs,5,0,32.2,1.61,1/1/2024,31/12/24
111000235,Azimac 500mg 3 tab,5,0,32.3,1.62,1/1/2024,31/12/24
111000438,Cefix 100mg 60ml Sus,5,0,28.65,1.43,1/1/2024,31/12/24
111000507,Ciprogen 500mg tablets,5,0,40.7,2.04,1/1/2024,31/12/24
111000531,Clara 10mg 10 tabs,5,0,17.65,0.88,1/1/2024,31/12/24
111000607,Coxicam 15mg 10tablet,5,0,13.3,0.67,1/1/2024,31/12/24
111000725,Diclomax 50mg 20 tab,10,0,19.8,1.98,1/1/2024,31/12/24
111000726,Diclomax Emulgel,5,0,10.55,0.53,1/1/2024,31/12/24
111000767,Dompy 10 mg 30 tab,5,0,16.25,0.81,1/1/2024,31/12/24
111000789,Duracan 150mg 1 Cap,5,0,19.45,0.97,1/1/2024,31/12/24
111000814,Elica - M - Cream 30 gm,5,0,25.55,1.28,1/1/2024,31/12/24
111000815,Elica 0.1% Cream 30 gm,5,0,19.2,0.96,1/1/2024,31/12/24
111000828,Emifenac 50mg tab,5,0,23.35,1.17,1/1/2024,31/12/24
111000939,Fexodine 120mg   14  s,5,0,16.85,0.84,1/1/2024,31/12/24
111001038,Gastrozole 20mg 14cap,5,0,41.35,2.07,1/1/2024,31/12/24
111001073,Gloclav 625 mg tab,5,0,48,2.4,1/1/2024,31/12/24
111001158,Hymox caps 500 mg blst 20   p,15,0,40.4,6.06,1/1/2024,31/12/24
111001169,Hyposec 20mg 14 caps,5,0,31.6,1.58,1/1/2024,31/12/24
111001440,Megamox 1 gm tab / 14,15,0,70.1,10.52,1/1/2024,31/12/24
111001445,Megamox 457mg susp 70ml,5,0,29.55,1.48,1/1/2024,31/12/24
111001446,Megamox 625mg 20 tab,15,0,57.4,8.61,1/1/2024,31/12/24
111001469,Meva 135 mg F. C 30 tabs,5,0,15.8,0.79,1/1/2024,31/12/24
111001770,  Pantomax 40mg 15 tab,5,0,31.65,1.58,1/1/2024,31/12/24
111001771,  Pantomax 40mg 30 tab,5,0,56.45,2.82,1/1/2024,31/12/24
111001798,Peptazol caps 15mg rmbp 14  p,5,0,19.5,0.98,1/1/2024,31/12/24
111001956,Relaxon 250mg 30 caps,5,0,24.15,1.21,1/1/2024,31/12/24
111001961,Remox  500 cap,7,0,36.35,2.54,1/1/2024,31/12/24
111001969,Repaderm Gel 100gm,5,0,20,1,1/1/2024,31/12/24
111001970,Repaderm Gel 40gm,5,0,9.85,0.49,1/1/2024,31/12/24
111002037,Rofenac D  tabs 50 mg rmbp  20  p,5,0,29.55,1.48,1/1/2024,31/12/24
111002038,Rofenac Gel 50g,5,0,13.45,0.67,1/1/2024,31/12/24
111002060,Rumafen 50mg EC 20tab,5,0,21.05,1.05,1/1/2024,31/12/24
111002079,Sapofen tabs 400mg RMBP 20 p,5,0,10,0.5,1/1/2024,31/12/24
111002080,Sapofen tabs 600mg rmbp 30 p,5,0,17.4,0.87,1/1/2024,31/12/24
