 رقم الصنف,اسم الصنف,يدوي,اوتماتيك,whats,VAT,QTY,SALES PRICE,TOTAL SP,PURCHASE PRC,TOTAL PP,COST P,TOTAL CP,VAT,VAT VALUE,TOTAL CP
111003833,Plerus Plus Syrup100ml,XT0062,535845,1/1/2026,0,6394,39.95,255440.3,8,51152,8,51152,0,0,51152
111003833,Plerus Plus Syrup100ml,xt0062,526456,1/1/2026,0,3200,39.95,127840,39.95,127840,8,25597.41,0,0,25597.41
111003833,Plerus Plus Syrup100ml,XT0062,532087,1/30/2026,0,608,39.95,24289.6,8,4864,8,4864,0,0,4864
111004197,Zinco Vit C 1000mg+zing 200ml,010824czn/sa,545325,8/31/2027,0,363,29.9,10853.7,29.9,10853.7,11.96,4341.48,0,0,4341.48
111001755,Panadol Extra 24 tab,5k5m,548236,10/10/2027,0,1172,8,9376,8,9376,6.67,7813.02,0,0,7813.02
111002151,Snafi tabs 20 mg RMBP  4 p,1154542,526334,1/1/2026,0,70,88.95,6226.5,88.95,6226.5,36.02,2521.73,0,0,2521.73
111003735,Mugesic Muscle Pain Relief Cream 100g,1,517865,2/28/2025,0,84,60,5040,60,5040,21.65,1818.33,0,0,1818.33
111001750,Panadol 500mg Tabe (Bule),RV2C,537775,8/30/2027,0,600,5.8,3480,5.8,3480,4.83,2899.88,0,0,2899.88
111001225,Jospan Syrup 100 ml,200623,519438,6/30/2026,0,65,39.75,2583.75,39.75,2583.75,0,0,0,0,0
111001742,Otrivin Nasal  Spray 10ml,Y69P,537782,2/28/2027,0,150,16.55,2482.5,16.55,2482.5,13.79,2068.67,0,0,2068.67
111002959,Sulfad 1 gm 30 Tab,1,526349,12/12/2024,0,10,230,2300,230,2300,92,920,0,0,920
121020965,Vivaheel Massage Emul Gel 100ml 1195,1,502426,7/7/2025,15,48,41.9,2011.2,41.9,2011.2,13.47,646.46,0.15,96.97,743.43
111003217,Panadol Advance 500mg 24Tab,759s,519572,3/1/2025,0,288,6.05,1742.4,6.05,1742.4,5.04,1451.94,0,0,1451.94
111001754,Panadol Extend 18 Tab,VE6C-A,537778,2/28/2026,0,110,15.75,1732.5,15.75,1732.5,13.12,1443.69,0,0,1443.69
111004692,Avalon Ciprogram 500mg 10 tab,2593004,519426,2/1/2026,0,26,54.3,1411.8,54.3,1411.8,0,0,0,0,0
151001445,Pigon Silent Electric Breast Pump,1,504765,12/31/1932,0,2,700,1400,445,890,445,890,0,0,890
111004767,Panadol Pana Natural Cough Syrup 128gm,24E0833,540347,10/10/2026,0,28,48,1344,32.5,910,32.5,910,0,0,910
111003702,Vega 100mg 4 Tab,17365,530355,11/30/2026,0,30,43.7,1311,43.7,1311,15.83,475.04,0,0,475.04
121017827,Jasika Nail Polish Remover,1,415506,12/1/1999,15,86,15,1290,9,774,9,774,0.15,116.1,890.1
121016042,Gillette Blue II Plus Ultra Gripe 15+5 32305,1,539826,12/1/1999,15,20,47,940,28.44,568.8,28.44,568.8,0.15,85.32,654.12
111003808,Vega 50mg 4tab,15714,490041,9/1/2025,0,20,43.7,874,43.7,874,0,0,0,0,0
151000067,Bakeer Face Mask 020,1,394766,12/1/2022,0,128,6.65,851.2,3.18,406.61,3.17,406.33,0,0,406.33
121004632,Tybah Sewak,1,514158,12/1/2025,15,340,2.5,850,1.57,533.8,1.57,533.8,0.15,80.07,613.87
111003560,Clavodar 1mg Tab,9200,519434,8/1/2025,0,18,44.6,802.8,44.6,802.8,0,0,0,0,0
151001596,CareTalk Infraed Thermometer BK8005,1,392368,12/1/1999,0,1,800,800,450,450,450,450,0,0,450
121000395,Braun SE7681 Legs Body/Face 35098,1,286787,12/1/1999,15,1,675,675,499,499,320.63,320.63,0.15,48.09,368.72
121022101,Gillette Simply Venus 3 Blades 16 Razors Pink,1,539825,12/1/1999,15,10,61,610,41.32,413.2,41.32,413.2,0.15,61.98,475.18
121010337,Braun ES3 Pro Euro SR BK Box Series 35180,1,258151,12/1/1999,15,1,495,495,373.5,373.5,321.95,321.95,0.15,48.29,370.24
111004770,Ashwagandha 60 Tab,BS308,537967,5/30/2026,0,6,80,480,50,300,50,300,0,0,300
151000181,Barak Citizen Digital Ear Thermometer CT830,9999999999,167293,10/10/2011,0,2,235,470,235,470,0,0,0,0,0
111001752,Panadol Actifast Film Coated tabs B,WF6P,537779,10/30/2026,0,48,9.15,439.2,9.15,439.2,7.62,365.99,0,0,365.99
121008430, Braun ES2 Satin Hair 35194,9999999999,234152,12/1/1999,15,1,406,406,284.2,284.2,263.9,263.9,0.15,39.59,303.49
151000067,Bakeer Face Mask 020,9999999999,444569,12/1/1999,0,42,8,336,6.8,285.6,6.8,285.6,0,0,285.6
121010699,Barak كرسي ترويش,1,267086,12/1/1999,0,3,105,315,75,225,68.25,204.75,0,0,204.75
121009694,Braun AS 720 LCSC Airstyler 35433,1,246209,12/1/1999,15,1,305,305,216,216,204.16,204.16,0.15,30.62,234.78
121007925,Omron (Wrist),9999999999,204853,1/1/2013,15,1,300,300,235,235,195,195,0.15,29.25,224.25
111000726,Diclomax Emulgel,7039,511327,12/1/2026,0,28,10.55,295.4,10.55,295.4,0,0,0,0,0
121018997,Pigon Breast Pump Manual With Sleev 26489,1,517587,1/31/1933,0,1,270,270,209.38,209.38,209.38,209.38,0,0,209.38
151001528,Omron Sonic Style 458 Electric Toothbrush,1,343916,12/1/1999,0,1,265,265,200,200,200,200,0,0,200
121008208,Gym Form Total Fitness 6 Program,9999999999,211074,5/1/2012,15,1,245,245,200,200,159.25,159.25,0.15,23.89,183.14
151000723,Omron -RX Classic Mashin,9999999999,221917,12/1/1999,0,1,245,245,190,190,159.25,159.25,0,0,159.25
121020420,Medical Air Matte W Pump,1,461209,9/1/1931,15,1,233,233,149.12,149.12,149.12,149.12,0.15,22.37,171.49
111003818,Centrum Energy 30 tab,8C9X,537772,2/28/2026,0,8,29,232,29,232,24.17,193.33,0,0,193.33
111002959,Sulfad 1 gm 30 Tab,vt838,506632,12/30/2024,0,1,230,230,230,230,92,92,0,0,92
151001653,Covid 19 Test,1,518996,12/1/1999,0,5,45,225,20,100,20,100,0,0,100
121005476,Gillette M3  Power 8,9999999999,183887,1/1/2012,15,2,109,218,84,168,70.92,141.84,0.15,21.28,163.12
151001141,Nadeen Sandel Size 39,9999999999,164351,12/1/1999,0,3,70,210,48,144,45.5,136.5,0,0,136.5
111001225,Jospan Syrup 100 ml,201022,501898,10/31/2025,0,5,39.75,198.75,39.75,198.75,1.26,6.29,0,0,6.29
111001757,Panadol sinus Caplets box/24,ea895,538029,6/30/2027,0,14,13.6,190.4,13.6,190.4,11.33,158.66,0,0,158.66
121015656,Scholl Travel Manicure Set,1,350565,12/1/1999,15,1,190,190,190,190,108.3,108.3,0.15,16.25,124.55
121014681,Body Wight Scale 180kg ab2011a1,1,442511,12/1/1999,15,1,180,180,110,110,110,110,0.15,16.5,126.5
121013035,Electronic Body Scale PS 5010,1,397522,12/1/1999,15,1,180,180,50,50,50,50,0.15,7.5,57.5
141000299,Pigon Breast Pump Manual Diaphram,1,517588,1/31/1932,0,1,178,178,99.64,99.64,99.64,99.64,0,0,99.64
111004108,Eralyce Cream 5% 30gm,18203,530357,4/30/2026,0,4,42.9,171.6,42.9,171.6,29.79,119.18,0,0,119.18
