Item No.,Item name,Patch No.,Ascon code,EXPIRY DATE,Qty,Sales Price,Total Sales Price,Purchase Price,Total Purchase Price,Cost Price ,Tptal Cost Price,vat,Vat value,totak
161000007,Optima A/D Miswak T/P 100ml,1,528710,2/23/2026,3,28,84,15.79,47.37,15.79,47.37,0.15,7.11,54.48
121016375,Optima A/D Pomegranate T/P 100ml,1,539000,4/10/2027,3,28,84,15.79,47.37,15.79,47.37,0.15,7.11,54.48
121016375,Optima A/D Pomegranate T/P 100ml,1,528711,11/13/2026,6,28,168,15.79,94.74,15.79,94.74,0.15,14.21,108.95
161000010,Optima A/D Senstive T/P 50ml,1,513097,11/12/2026,1,16,16,10.26,10.26,10.26,10.26,0.15,1.54,11.8
121006083,Optima A/D Triple Action Mouth Wash 250ml,1,515764,3/14/2026,4,26,104,15.34,61.36,15.34,61.36,0,0,61.36
121006083,Optima A/D Triple Action Mouth Wash 250ml,1,538997,3/13/2027,5,26,130,14.3,71.5,14.3,71.5,0,0,71.5
121006174,Optima A/D Triple Action T.P 100ml,1,538998,4/15/2027,3,28,84,15.79,47.37,15.79,47.37,0.15,7.11,54.48
121006174,Optima A/D Triple Action T.P 100ml,1,528712,11/6/2026,1,28,28,15.79,15.79,15.79,15.79,0.15,2.37,18.16
161000008,Optima A/D Triple Action T/P 50ml,1,528713,11/11/2026,4,16,64,9.56,38.24,9.56,38.24,0.15,5.74,43.98
161000004,Optima A/D Whitening T/P 100ml,1,538999,3/14/2027,5,28,140,15.79,78.95,15.79,78.95,0.15,11.84,90.79
161000004,Optima A/D Whitening T/P 100ml,1,528714,10/20/2026,1,28,28,15.79,15.79,15.79,15.79,0.15,2.37,18.16
161000009,Optima A/D Whitening T/P 50ml,1,528715,11/8/2026,2,16,32,9.56,19.12,9.56,19.12,0.15,2.87,21.99
161000009,Optima A/D Whitening T/P 50ml,1,539001,4/29/2026,3,16,48,9.56,28.68,9.56,28.68,0.15,4.3,32.98
121018698,Optima T.P Aloe Vera Anti Staining Smokers 100ml,1,525069,11/7/2026,3,28,84,15.79,47.37,15.79,47.37,0.15,7.11,54.48
121021223,Optima T/P Charcoal +TTo 100ml,1,525071,11/8/2026,3,30,90,17.19,51.57,17.19,51.57,0.15,7.74,59.31
111001706,Optipred 1% opthalmic Susp. 5ml /bottle,ae0333,544901,5/31/2025,2,14.45,28.9,10.48,20.96,10.48,20.96,0,0,20.96
111001706,Optipred 1% opthalmic Susp. 5ml /bottle,AD0121,477772,3/1/2025,2,14.45,28.9,14.45,28.9,10.47,20.94,0,0,20.94
121020962,Orahix Mouth Wash 300 ml 2080,1,502424,4/4/2025,2,38,76,38,76,12.44,24.87,0,0,24.87
121001740,Oral B D/Floss Satin Floss 25m 34070,1,450554,7/7/2024,1,15,15,10.75,10.75,10.75,10.75,0,0,10.75
121008419,Oral B D/Floss Unwaxed 34060,1,501032,4/30/2025,1,15,15,7.95,7.95,7.95,7.95,0,0,7.95
121018570,Oral B D/Floss Waxed Mint,1,449618,12/1/1999,1,18.4,18.4,18.4,18.4,11.96,11.96,0,0,11.96
121018570,Oral B D/Floss Waxed Mint,1,485496,11/30/2026,2,15,30,7.95,15.9,7.95,15.9,0,0,15.9
121003418,Oral B Mickey T/B Kids 34032,1,496441,10/31/2027,1,7,7,3.9,3.9,3.9,3.9,0,0,3.9
121003419,Oral B New Interdent Kit 34050,1,449600,12/1/1999,1,18.5,18.5,18.5,18.5,12.03,12.03,0,0,12.03
