Item No.,Item name,Patch No.,Ascon code,EXPIRY DATE,Qty,Sales Price,Total Sales Price,Purchase Price,Total Purchase Price,Cost Price ,Tptal Cost Price,vat,Vat value,totak
121008430, Braun ES2 Satin Hair 35194,9999999999,234152,12/1/2030,1,406,406,284.2,284.2,263.9,263.9,0.15,39.59,303.49
111004770,Ashwagandha 60 Tab,BS308,537967,5/30/2026,3,80,240,50,150,50,150,0,0,150
111004692,Avalon Ciprogram 500mg 10 tab,2593004,519426,2/1/2026,26,54.3,1411.8,54.3,1411.8,0,0,0,0,0
111004692,Avalon Ciprogram 500mg 10 tab,2593026,528849,11/1/2026,2,54.25,108.5,26.68,53.36,26.68,53.36,0,0,53.36
151000067,Bakeer Face Mask 020,9999999999,444569,12/1/2030,42,8,336,6.8,285.6,6.8,285.6,0,0,285.6
151000067,Bakeer Face Mask 020,1,394766,12/1/2030,128,6.65,851.2,3.18,406.61,3.17,406.33,0,0,406.33
151001536,Barak Canchamber (L),1,351008,12/1/2030,1,60,60,60,60,37.2,37.2,0,0,37.2
151000181,Barak Citizen Digital Ear Thermometer CT830,9999999999,167293,12/1/2030,2,235,470,235,470,0,0,0,0,0
121010699,Barak ???? ?????,1,267086,12/1/2030,3,105,315,75,225,68.25,204.75,0,0,204.75
121000339,BLF Nail File Biger 1040/7,1,338903,12/1/2030,6,2,12,2,12,1,6,0.15,0.9,6.9
121014681,Body Wight Scale 180kg ab2011a1,1,442511,12/1/2030,1,180,180,110,110,110,110,0.15,16.5,126.5
121009694,Braun AS 720 LCSC Airstyler 35433,1,246209,12/1/2030,1,305,305,216,216,204.16,204.16,0.15,30.62,234.78
121010337,Braun ES3 Pro Euro SR BK Box Series 35180,1,258151,12/1/2030,1,495,495,373.5,373.5,321.95,321.95,0.15,48.29,370.24
121000395,Braun SE7681 Legs Body/Face 35098,1,286787,12/1/2030,1,675,675,499,499,320.63,320.63,0.15,48.09,368.72
151001596,CareTalk Infraed Thermometer BK8005,1,392368,12/1/2030,1,800,800,450,450,450,450,0,0,450
111003818,Centrum Energy 30 tab,8C9X,537772,2/28/2026,8,29,232,29,232,24.17,193.33,0,0,193.33
111003560,Clavodar 1mg Tab,9200,519434,8/1/2025,18,44.6,802.8,44.6,802.8,0,0,0,0,0
121000649,Conair hair Drier 480 Ed,9999999999,206341,12/1/2030,1,157,157,157,157,102.12,102.12,0.15,15.32,117.44
151001653,Covid 19 Test,1,518996,12/1/2030,5,45,225,20,100,20,100,0,0,100
111000726,Diclomax Emulgel,7039,511327,12/1/2026,28,10.55,295.4,10.55,295.4,0,0,0,0,0
121001239,Emjoi Optima Mini Purple Ap96s,9999999999,206348,12/1/2030,1,155,155,155,155,100.82,100.82,0.15,15.12,115.94
121005936,Emjoi Power Ueht-171,9999999999,205385,12/1/2030,1,90,90,90,90,58.5,58.5,0.15,8.78,67.28
111004108,Eralyce Cream 5% 30gm,18203,530357,4/30/2026,4,42.9,171.6,42.9,171.6,29.79,119.18,0,0,119.18
111000921,Fenistil Gel,ac6k,548235,5/5/2026,8,10.25,82,10.25,82,8.54,68.33,0,0,68.33
121001474,Foot File 3028,6568,339624,12/1/2030,6,18,108,18,108,9,54,0.15,8.1,62.1
121010776,Gillette Blue 3 CRT3 32775,1,269023,12/1/2030,3,18,54,12.46,37.38,11.7,35.11,0.15,5.27,40.38
121016042,Gillette Blue II Plus Ultra Gripe 15+5 32305,1,539826,12/1/2030,20,47,940,28.44,568.8,28.44,568.8,0.15,85.32,654.12
121001623,Gillette Body Bags 3pcs 32597,1,538764,12/1/2030,10,10,100,6.25,62.5,6.25,62.5,0.15,9.38,71.88
121005476,Gillette M3  Power 8,9999999999,183887,12/1/2030,2,109,218,84,168,70.92,141.84,0.15,21.28,163.12
121022101,Gillette Simply Venus 3 Blades 16 Razors Pink,1,539825,12/1/2030,10,61,610,41.32,413.2,41.32,413.2,0.15,61.98,475.18
121001703,Gillette Venus Cartridge4 4s 32093,1,252164,12/1/2030,2,62,124,44.25,88.5,40.3,80.6,0.15,12.09,92.69
121016990,Glance With Sterlizition  Facial Tissue 6x6,1,505734,12/1/2030,72,4,288,2.18,156.96,2.18,156.96,0.15,23.54,180.5
121008208,Gym Form Total Fitness 6 Program,9999999999,211074,12/1/2030,1,245,245,200,200,159.25,159.25,0.15,23.89,183.14
121017827,Jasika Nail Polish Remover,1,415506,12/1/2030,86,15,1290,9,774,9,774,0.15,116.1,890.1
111001225,Jospan Syrup 100 ml,200623,519438,6/30/2026,65,39.75,2583.75,39.75,2583.75,0,0,0,0,0
111001225,Jospan Syrup 100 ml,201022,501898,10/31/2025,5,39.75,198.75,39.75,198.75,1.26,6.29,0,0,6.29
111003807,Lodipam 10mg 30tab,18281,543895,6/6/2027,2,45.95,91.9,27.35,54.7,27.35,54.7,0,0,54.7
151001742,Malia Face Mask,1,460753,8/1/2025,1,10.43,10.43,6.68,6.68,6.68,6.68,0.15,1,7.68
121020420,Medical Air Matte W Pump,1,461209,12/1/2030,1,233,233,149.12,149.12,149.12,149.12,0.15,22.37,171.49
111003735,Mugesic Muscle Pain Relief Cream 100g,17987,543896,4/4/2026,2,60,120,21.65,43.29,21.65,43.29,0,0,43.29
