Item No.,Item name,Patch No.,Ascon code,EXPIRY DATE,Qty,sp,TSP,PP,TPP,CP,TCP,Vat,vat value,total cost
121016671,Garnier Olia Hair Color 9.0 Light Blonde,1,533597,8/1/2030,2,22,44,11.6,23.2,11.6,23.2,0.15,3.48,26.68
121016671,Garnier Olia Hair Color 9.0 Light Blonde,1,515739,8/1/2030,6,22,132,11.6,69.6,11.6,69.6,0.15,10.44,80.04
121016672,Garnier Olia Hair Color 9.1 Ashy Light Blond Clair,1,512779,8/1/2030,5,22,110,11.6,58,11.6,58,0.15,8.7,66.7
121016672,Garnier Olia Hair Color 9.1 Ashy Light Blond Clair,1,451149,8/1/2030,1,22,22,11.8,11.8,11.8,11.8,0.15,1.77,13.57
121016672,Garnier Olia Hair Color 9.1 Ashy Light Blond Clair,1,533596,8/1/2030,3,22,66,11.6,34.8,11.6,34.8,0.15,5.22,40.02
121016672,Garnier Olia Hair Color 9.1 Ashy Light Blond Clair,1,544893,8/1/2030,1,22,22,11.6,11.6,11.6,11.6,0.15,1.74,13.34
121016638,Garnier Shampo Nutruring Almond MILK 700ML,1,494989,8/1/2030,1,24,24,17.66,17.66,17.66,17.66,0.15,2.65,20.31
121016638,Garnier Shampo Nutruring Almond MILK 700ML,1,533214,8/1/2030,1,24,24,16.06,16.06,16.06,16.06,0.15,2.41,18.47
121016462,Garnier Sk Fast Fairness Cream Vitamin C 50 ml,1,534908,8/1/2030,3,22,66,16.5,49.5,16.5,49.5,0.15,7.43,56.93
121016463,Garnier Sk Fast Fairness Cream Vitamin C Night 50ml,1,547292,8/1/2030,2,22,44,16.5,33,16.5,33,0.15,4.95,37.95
121019189,Garnier Sk Tissue Mask Hydra Bomb Dehydrated Skin 32gm,1,515740,8/1/2030,2,15,30,10.87,21.74,10.87,21.74,0.15,3.26,25
121021338,Garnier U/Doux Cond Mythic Olive 400ml,1,548204,8/1/2030,3,19,57,11.65,34.95,11.65,34.95,0.15,5.24,40.19
121016645,Garnier UD Almond Milk Shampoo 200ml,1,515753,8/1/2030,2,12,24,8.49,16.98,8.49,16.98,0.15,2.55,19.53
121016645,Garnier UD Almond Milk Shampoo 200ml,1,547987,8/1/2030,6,12,72,8,48,8,48,0.15,7.2,55.2
121016467,Garnier UD Almond Milk Shampoo 400ml,1,548209,8/1/2030,3,20,60,11.15,33.45,11.15,33.45,0.15,5.02,38.47
121016467,Garnier UD Almond Milk Shampoo 400ml,1,488660,8/1/2030,1,20,20,12.18,12.18,12.18,12.18,0.15,1.83,14.01
121013432,Garnier UD Avocado Karite Condi 400ml,1,538757,8/1/2030,5,19,95,11.65,58.25,11.65,58.25,0.15,8.74,66.99
121013424,Garnier UD Avocado Karite Leave 200ml,1,514188,8/1/2030,1,22,22,16.21,16.21,16.21,16.21,0.15,2.43,18.64
121013424,Garnier UD Avocado Karite Leave 200ml,1,548205,8/1/2030,2,22,44,16.25,32.5,16.25,32.5,0.15,4.88,37.38
