Item No.,Item name,Patch No.,Ascon code,EXPIRY DATE,Qty,Sales Price,Total Sales Price,Purchase Price,Total Purchase Price,Cost Price ,Tptal Cost Price,vat,total vat,total inc vat
111003495,Defosalic Ointment 30g,240100,547481,8/11/2026,3.00 ,13.7,41.1,11.42,34.26,11.42,34.26,0,0,34.26
111004529,Dentaheel Gel 20ml Vat,1,502425,5/5/2025,2.00 ,41.78,83.56,41.78,83.56,13.43,26.86,0.15,4.03,30.89
111003211,Dentinox Balm 15g,BXNOV23,531104,11/1/2026,1.00 ,45,45,37.5,37.5,37.5,37.5,0.15,5.63,43.13
111003211,Dentinox Balm 15g,bxnov23,525691,11/1/2026,2.00 ,45,90,45,90,34.13,68.26,0.15,10.24,78.5
111000675,Dentinox drops,bkotc23,512113,10/31/2025,4.00 ,37,148,37,148,28.79,115.15,0,0,115.15
111000676,Depakine 150ml syrup,669,516691,4/30/2025,1.00 ,20.85,20.85,20.85,20.85,17.38,17.38,0,0,17.38
111000677,Depakine 200mg 40tab,3r1px,538156,6/30/2026,3.00 ,18.45,55.35,18.45,55.35,15.38,46.13,0,0,46.13
111000678,Depakine 500mg 40tab,3R25A,547501,8/31/2026,1.00 ,32.2,32.2,26.83,26.83,26.83,26.83,0,0,26.83
111000679,Depakine chrono 500mg 30tab,FAS3547,549321,6/30/2027,1.00 ,51.85,51.85,51.85,51.85,43.21,43.21,0,0,43.21
121011902,Depurdent Moth Wash,1,472670,11/30/2025,1.00 ,48,48,32.2,32.2,32.2,32.2,0,0,32.2
121020042,Dera Al Arayes Bath Towel,33,452561,6/30/2024,1.00 ,10.44,10.44,5.5,5.5,5.5,5.5,0.15,0.83,6.33
111000687,Derma T Topical Lotion  30ml sp.,4ME277,531108,2/13/2026,2.00 ,22.15,44.3,13.29,26.58,13.29,26.58,0,0,26.58
111000687,Derma T Topical Lotion  30ml sp.,4me277,518619,2/13/2026,1.00 ,22.15,22.15,22.15,22.15,13.29,13.29,0,0,13.29
111000686,Derma T( Solution) 30ml,4MF1140,545856,6/1/2026,1.00 ,22.15,22.15,22.15,22.15,13.29,13.29,0,0,13.29
111003162,Dermatin Cream 14g,3972,536785,5/13/2026,1.00 ,7.6,7.6,7.6,7.6,5.76,5.76,0,0,5.76
111003161,Dermatin Solution 20ml,2149,540989,3/24/2026,1.00 ,14.5,14.5,14.5,14.5,11.48,11.48,0,0,11.48
111003161,Dermatin Solution 20ml,2142,536801,12/1/2026,2.00 ,14.5,29,14.5,29,12.08,24.17,0,0,24.17
111000693,Dermovate 25gm cream,YD6G,545478,8/31/2026,8.00 ,9.45,75.6,9.45,75.6,7.88,63.01,0,0,63.01
111000694,Dermovate 25gm oint,XV8X,545479,8/1/2026,4.00 ,9.45,37.8,9.45,37.8,7.88,31.5,0,0,31.5
111003850,Deslin 5MLG TAB,23108900,540990,10/31/2026,2.00 ,28.25,56.5,28.25,56.5,16.95,33.9,0,0,33.9
111003602,Deslor 5mg 20Tab,AM0187,549322,11/1/2026,3.00 ,23.3,69.9,23.3,69.9,14.56,43.69,0,0,43.69
