Item No.,Item name,Patch No.,Ascon code,EXPIRY DATE,Qty,sp,TSP,PP,TPP,CP,TCP,Vat,vat value,total cost
131000584,  Nan No 3  1800g (Scoop),1,540416,12/12/2025,1,161.47,161.47,153.5,153.5,153.5,153.5,0.15,23.025,176.525
131000584,  Nan No 3  1800g (Scoop),1,548545,1/4/2026,1,161.47,161.47,153.4,153.4,153.4,153.4,0.15,23.01,176.41
121000022,3003صحن صبغة BLF,1,461629,1/8/2030,1,8.7,8.7,5.57,5.57,5.57,5.57,0,0,5.57
121020017,4U Baby Bottle Plastic 120ml,333,452300,6/6/2026,1,17.39,17.39,11.75,11.75,11.75,11.75,0.15,1.7625,13.5125
121020020,4U Baby Bottle Plastic 60ml,333,452303,6/6/2026,4,14.37,57.48,11,44,11,44,0.15,6.6,50.6
121020024,4U Baby Nipple Large 3 pcs,333,452308,6/6/2026,1,6.09,6.09,5,5,5,5,0.15,0.75,5.75
121020027,4U Baby Nipple Small 1 pcs,333,452311,6/6/2026,2,14.37,28.74,11,22,11,22,0.15,3.3,25.3
121000044,A Lax 30 tab,23b180-1,532534,30/03/26,1,42,42,42,42,29.75238,29.75238,0,0,29.75238
121000044,A Lax 30 tab,23B180-1,545730,1/3/2026,3,42,126,42,126,29.988,89.964,0,0,89.964
121000045,A3 Lightening soap,1,518890,31/01/28,6,28,168,21.5,129,21.5,129,0.15,19.35,148.35
121000046,A3 Medi Soap,1,548084,1/12/2027,3,28,84,21.5,64.5,21.5,64.5,0.15,9.675,74.175
111003098,Acc 200 Mg Powder Oral Solution,MW0479,545457,30/06/25,2,11.4,22.8,11.4,22.8,9.50076,19.00152,0,0,19.00152
151001750,Accu Check Pen,1,518997,1/8/2030,1,35,35,20,20,20,20,0,0,20
151000008,Accu Chek Active System,1,534726,1/8/2030,1,240,240,95,95,95,95,0,0,95
111003819,Accu Chek Instant 50 Strips,1,538595,10/10/2025,1,100,100,78,78,78,78,0,0,78
111003819,Accu Chek Instant 50 Strips,1,518039,7/7/2025,1,100,100,78,78,78,78,0,0,78
111002901,Accu Chek Performa Test 50 Strips,1,548811,30/06/25,2,90,180,62,124,62,124,0,0,124
111003040,Acetab 25mg 30Tab,NT416,540905,13/06/26,1,20.25,20.25,20.25,20.25,15.35748,15.35748,0,0,15.35748
111000014,Acetab 50 mg 30 tabs,NT820,540906,4/12/2026,2,34.2,68.4,34.2,68.4,25.93707,51.87414,0,0,51.87414
111002913,Acical Plus Chewable Tab,6302,545686,17/07/26,1,7,7,7,7,5.8338,5.8338,0,0,5.8338
111000021,Aciloc 20 mg 14 cap,AN0400,536510,30/12/25,2,45.95,91.9,45.95,91.9,26.41206,52.82412,0,0,52.82412
111000022,Aciloc 40 mg 14 caps,ba0211,526626,1/1/2026,1,61,61,61,61,36.6,36.6,0,0,36.6
111000027,Acretin 0.05% cream 30 gm,AK0352,546125,1/9/2025,3,19.5,58.5,19.5,58.5,12.5135,37.5405,0,0,37.5405
111000028,Acretin 0.25 % Cream 30 gm,AN0238,549247,1/12/2025,10,18.85,188.5,18.85,188.5,12.09638,120.9638,0,0,120.9638
111004203,Acretin-C Gel 30gm/Tube,am0158,524067,13/05/25,2,26.75,53.5,26.75,53.5,20.28704,40.57408,0,0,40.57408
121018295,Activilong Hair Kit Relax Keratin Argan Regular Normal,1,548085,30/11/27,1,47.83,47.83,24.3,24.3,24.3,24.3,0.15,3.645,27.945
121018296,Activilong Hair Kit Relax Keratin Argan Super,1,515926,31/08/27,1,47.83,47.83,24.3,24.3,24.3,24.3,0.15,3.645,27.945
121018296,Activilong Hair Kit Relax Keratin Argan Super,1,548086,28/02/28,1,47.83,47.83,24.3,24.3,24.3,24.3,0.15,3.645,27.945
121018297,Activilong Hair Kit Relax Macadamia Jojoba Regular,1,548087,31/03/28,1,47.83,47.83,24.3,24.3,24.3,24.3,0.15,3.645,27.945
121018298,Activilong Hair Kit Relax Macadamia Jojoba Super,1,548088,31/03/28,1,47.83,47.83,24.3,24.3,24.3,24.3,0.15,3.645,27.945
111003809,Actodryl Syrup 120ml,17160,550367,1/10/2025,10,12,120,12,120,8.40067,84.0067,0,0,84.0067
111000033,Actos 15mg 30s,356124,508767,30/04/27,1,51.7,51.7,51.7,51.7,36.1929,36.1929,0,0,36.1929
111000034,Actos 30mg 30tab,356026,516797,1/9/2026,2,87.75,175.5,87.75,175.5,64.09822,128.19644,0,0,128.19644
111003846,Adazio 25mg,23DH60,518061,30/11/26,9,33.3,299.7,33.3,299.7,26.36461,237.28149,0,0,237.28149
111003959,Adazio 300mg 30Tab,23DD39,510387,30/06/26,1,113.95,113.95,113.95,113.95,94.13637,94.13637,0,0,94.13637
121000065,Adidas Deo  Spray Ice Dive 150 ml,1,546934,14/10/26,6,19,114,13.5,81,13.5,81,0.15,12.15,93.15
121014668,Adidas Deo Body Spray Dynamic Pulse 150 ml,1,546936,7/10/2026,4,19,76,13.5,54,13.5,54,0.15,8.1,62.1
121013920,Adidas Deo Body Spray Pure Game 150ml,1,546938,11/8/2026,3,19,57,13.5,40.5,13.5,40.5,0.15,6.075,46.575
121000069,Adidas Deo Spray Fresh (Women) 150 ml,1,546937,8/9/2026,6,19,114,13.5,81,13.5,81,0.15,12.15,93.15
111000043,Adol 125mg 10 Supp,1485,545119,3/6/2026,1,4.9,4.9,4.08,4.08,4.08,4.08,0,0,4.08
111000043,Adol 125mg 10 Supp,1482,484566,3/6/2026,2,4.9,9.8,4.9,9.8,4.08366,8.16732,0,0,8.16732
111000043,Adol 125mg 10 Supp,2338,531157,1/8/2026,5,4.9,24.5,4.08,20.4,4.08,20.4,0,0,20.4
111000044,Adol 250mg 10 Supp,3417,531158,1/12/2026,1,6.1,6.1,5.08,5.08,5.08,5.08,0,0,5.08
111000045,Adol 500mg Caplets,2257,540635,25/07/27,1,5.05,5.05,5.05,5.05,3.535,3.535,0,0,3.535
111000048,Adol Drops 15 ml,5030,543676,8/5/2027,5,7.5,37.5,7.5,37.5,6.2505,31.2525,0,0,31.2525
111000049,Adol Extra Tab,2229,545458,25/08/25,4,6.4,25.6,6.4,25.6,3.84031,15.36124,0,0,15.36124
111000052,Adol Syrup 100ml,2671,546126,30/09/25,27,5.8,156.6,5.8,156.6,4.06,109.62,0,0,109.62
111003636,Advaquin 500mg 5tab,4AH004A,550368,30/04/27,1,40.4,40.4,40.4,40.4,25.92541,25.92541,0,0,25.92541
111000057,Advil Tab 200mg Tab,kv9y,474131,1/6/2025,2,7.15,14.3,7.15,14.3,5.95881,11.91762,0,0,11.91762
111000057,Advil Tab 200mg Tab,XW4D,537769,30/10/25,3,7.15,21.45,7.15,21.45,5.9581,17.8743,0,0,17.8743
111000058,Aerius 2.5mg /5ml 150ml,1144550,527852,28/02/25,1,23.95,23.95,23.95,23.95,19.95993,19.95993,0,0,19.95993
111000058,Aerius 2.5mg /5ml 150ml,1150764,550369,1/10/2025,3,23.95,71.85,23.95,71.85,18.16354,54.49062,0,0,54.49062
111000060,Aerius 5mg tabs 18 tabs,2000453,550171,9/5/2026,4,23.33,93.32,23.33,93.32,17.69333,70.77332,0,0,70.77332
111004615,Aerose Plus Nasal Spray,2202290001,510396,28/03/25,2,64.9,129.8,64.9,129.8,44.89276,89.78552,0,0,89.78552
151001482,Aerosol Chamber 175ml (Medium),1,548806,1/8/2030,1,60,60,29,29,29,29,0,0,29
121014695,Agiss Nose Deep Cleansing,1,461636,1/8/2030,2,29,58,18.56,37.12,18.56,37.12,0.15,5.568,42.688
121014700,Agiss Nose Face Cleansing,bh,449554,30/11/25,5,30,150,30,150,19.5,97.5,0.15,14.625,112.125
111004305,Airfast 4mg 30 Tab,3YS107,549269,1/10/2025,1,100.1,100.1,100.1,100.1,67.02616,67.02616,0,0,67.02616
151000033,Airo Plast 10cm 500cm 2 Roll,1,498853,10/10/2025,5,15,75,5.35,26.75,5.35,26.75,0,0,26.75
151000037,Airo Plast C.P 7.5cm 4.55 M Roll,1,498852,10/10/2025,5,12,60,4.5,22.5,4.5,22.5,0,0,22.5
121020228,Al Khuraiji Perfume 100 Ml,1,458382,1/2/2025,2,85,170,27.2,54.4,54.4,108.8,0.15,16.32,125.12
111000068,Albothyl Vag  Supp,555721,529871,31/12/25,1,14.25,14.25,14.25,14.25,11.87453,11.87453,0,0,11.87453
111000068,Albothyl Vag  Supp,555568,540456,31/12/25,3,14.25,42.75,14.25,42.75,11.87595,35.62785,0,0,35.62785
111000069,Alcohol Swab 200p Box,1,438909,1/8/2030,8,10,80,4,32,4,32,0,0,32
111000070,Aldactone 100mg 10 tabs,B32304,540903,31/03/29,2,25.05,50.1,25.05,50.1,20.87667,41.75334,0,0,41.75334
111000071,Aldactone 25mg 20 tabs,B32622,547463,31/03/29,2,18,36,15,30,15,30,0,0,30
111000073,Alendro 70mg 4 tab,1424,502546,1/4/2026,2,43.65,87.3,43.65,87.3,30.55744,61.11488,0,0,61.11488
111000074,Alfacort Cream,2009,508417,30/07/26,4,8.2,32.8,8.2,32.8,6.83388,27.33552,0,0,27.33552
111000075,Alfacort oint,581,487722,5/3/2025,4,5.95,23.8,5.95,23.8,4.61162,18.44648,0,0,18.44648
121021374,Alfaparf Keratin Therapy Express Smoothing Treatment Kit,1,515940,30/01/27,1,308.69,308.69,145.71,145.71,145.71,145.71,0.15,21.8565,167.5665
121005393,Alomenum  عكاز,1,435401,1/8/2030,1,45,45,27.5,27.5,27.5,27.5,0,0,27.5
111004718,Alpha Light Ligtng Snstv Area Cream 75ml,1,515548,31/07/26,1,95,95,95,95,38,38,0.15,5.7,43.7
111002736,Alphagan P Eye Drops 5ml,406231,546127,31/12/25,1,38.5,38.5,38.5,38.5,32.0859,32.0859,0,0,32.0859
143000337,Always Night Black 6x24,1,546535,18/07/26,6,21,126,15.17,91.02,15.17,91.02,0.15,13.653,104.673
143000351,Always Night Super Violet 3x48,1,546536,30/09/26,6,40,240,30.7,184.2,30.7,184.2,0.15,27.63,211.83
143000015,Always Sensi Super Plus With Wings 16x10 (Rose),1,468947,1/8/2030,6,9,54,6.1875,37.125,6.1875,37.125,0.15,5.56875,42.69375
143000232,Always Sensi Super Plus With Wings 4x50 (Rose),1,546534,28/07/26,2,30,60,21.4,42.8,21.4,42.8,0.15,6.42,49.22
143000110,Always Sensi Super Plus With Wings 6x30 (Rose),1,546533,2/7/2026,6,21,126,15.13,90.78,15.13,90.78,0.15,13.617,104.397
143000019,Always Super Plus With Wings 4x50 (Move),1,546427,30/10/26,3,32,96,21.4,64.2,21.4,64.2,0.15,9.63,73.83
143000020,Always Super Plus With Wings 6x30 (Move),1,546426,29/10/26,4,22,88,15.13,60.52,15.13,60.52,0.15,9.078,69.598
111004246,Amaglime 2mg 30tab,2433008,510410,1/7/2026,1,13.7,13.7,13.7,13.7,7.76395,7.76395,0,0,7.76395
111004246,Amaglime 2mg 30tab,2433007,490356,1/6/2026,2,13.7,27.4,13.7,27.4,9.59077,19.18154,0,0,19.18154
111003885,Amaglime 3mg 30tab,2444002,536515,15/04/27,2,23.6,47.2,23.6,47.2,19.66824,39.33648,0,0,39.33648
111000085,Amaryl 1mg Tab 30,3U002,547465,31/07/26,1,20.8,20.8,17.33,17.33,17.33,17.33,0,0,17.33
111000085,Amaryl 1mg Tab 30,3U002,543829,31/07/26,1,20.8,20.8,20.8,20.8,15.08121,15.08121,0,0,15.08121
111000086,Amaryl 2mg Tab 30,4U1403,550370,31/03/27,1,33.9,33.9,33.9,33.9,24.57947,24.57947,0,0,24.57947
111000086,Amaryl 2mg Tab 30,3u005,541267,30/09/26,1,33.9,33.9,33.9,33.9,25.68105,25.68105,0,0,25.68105
111000087,Amaryl 3mg Tab 30,2u003,503921,31/08/25,1,47.15,47.15,47.15,47.15,36.54417,36.54417,0,0,36.54417
111000088,Ambolar Syrup 100ml,5935,520427,1/3/2025,1,7.15,7.15,7.15,7.15,5.434,5.434,0,0,5.434
111000088,Ambolar Syrup 100ml,6450,508418,1/5/2025,2,7.15,14.3,7.15,14.3,5.36293,10.72586,0,0,10.72586
121000097,Amirs Henna Black Color,1,511086,26/02/26,4,15,60,9,36,9,36,0.15,5.4,41.4
121000098,Amirs Henna Brown Color,1,495053,1/10/2025,5,15,75,9,45,9,45,0.15,6.75,51.75
111003730,Amlocard 5mg 30Tab,5844,536496,18/02/26,1,26.45,26.45,26.45,26.45,18.36953,18.36953,0,0,18.36953
111003730,Amlocard 5mg 30Tab,6251,549309,28/06/26,5,26.45,132.25,26.45,132.25,19.17778,95.8889,0,0,95.8889
111003592,Amlopine 5mg 30 Cap,1153931,538278,1/1/2028,2,38.85,77.7,38.85,77.7,27.19718,54.39436,0,0,54.39436
111000101,Amlopress 5mg 28 tab,f220143,544949,1/2/2026,1,32.65,32.65,27.21,27.21,27.21,27.21,0,0,27.21
111000090,Amlor 10mg 30 Caps,LJ5877,549249,1/4/2028,3,64.4,193.2,64.4,193.2,53.67096,161.01288,0,0,161.01288
111000091,Amlor 5mg 30cap,H12261A,549250,31/12/27,4,60.65,242.6,60.65,242.6,50.54571,202.18284,0,0,202.18284
111004802,Amoclan 1.2gm 1 Vial,1446,550371,30/11/25,2,14.6,29.2,14.6,29.2,12.16764,24.33528,0,0,24.33528
111000102,Amoxil 125mg susp,2001857,541268,31/07/26,1,16.8,16.8,16.8,16.8,11.66853,11.66853,0,0,11.66853
111000104,Amoxil 250mg 20cap,1142457,484886,1/11/2027,1,22.45,22.45,22.45,22.45,16.613,16.613,0,0,16.613
111000104,Amoxil 250mg 20cap,1142457,519753,1/11/2027,2,22.45,44.9,15.72,31.44,15.72,31.44,0,0,31.44
111000104,Amoxil 250mg 20cap,1142457,524298,30/11/27,2,22.45,44.9,22.45,44.9,15.59277,31.18554,0,0,31.18554
111000105,Amoxil 500mg 20cap,2000784,540782,1/6/2029,3,44.9,134.7,44.9,134.7,31.43251,94.29753,0,0,94.29753
111000108,Amrizole 125mm/5ml susp,9587233,521503,1/9/2025,2,6.55,13.1,6.55,13.1,5.45877,10.91754,0,0,10.91754
111000111,Amrizole Vag Supp 500  mg,97190023,545110,1/3/2025,1,7.8,7.8,6.5,6.5,6.5,6.5,0,0,6.5
111000111,Amrizole Vag Supp 500  mg,9719007,545111,1/3/2025,2,7.8,15.6,6.5,13,6.5,13,0,0,13
111000111,Amrizole Vag Supp 500  mg,1719011,527855,1/3/2026,3,7.8,23.4,7.8,23.4,6.50052,19.50156,0,0,19.50156
111000111,Amrizole Vag Supp 500  mg,1719007,541246,30/03/26,4,7.8,31.2,7.8,31.2,6.50052,26.00208,0,0,26.00208
111000112,Amvasc 10mg30 caps,ak0028,536514,5/9/2025,1,64.4,64.4,64.4,64.4,39.75412,39.75412,0,0,39.75412
111000113,Amvasc 5mg 30 caps,AN0433,549251,1/1/2026,1,53.35,53.35,53.35,53.35,34.23566,34.23566,0,0,34.23566
111000114,Amydramin - II Suger Free120ml,2303,550373,2/12/2026,5,7.15,35.75,7.15,35.75,5.0054,25.027,0,0,25.027
111000115,Amydramin Exp. Adu.Syp 120ml,4336,550372,2/6/2026,12,8.3,99.6,8.3,99.6,5.81046,69.72552,0,0,69.72552
111000116,Amydramin Ped.  Syrup 120ml,694,516802,9/2/2026,8,5.15,41.2,5.15,41.2,3.60529,28.84232,0,0,28.84232
111000117,Anafranil 10mg 30 tab,tyt58,518774,30/06/25,1,17.9,17.9,17.9,17.9,14.91786,14.91786,0,0,14.91786
111000118,Anafranil 25 mg 30 tab,23005t,541270,30/11/25,1,21.4,21.4,21.4,21.4,17.83262,17.83262,0,0,17.83262
111000121,Anazol 125mg/5ml 120ml Susp.,7610,549270,8/4/2027,4,6.9,27.6,6.9,27.6,4.14033,16.56132,0,0,16.56132
111000122,Anazol 200mg/5ml Susp.,6601,546130,10/9/2026,3,10.05,30.15,10.05,30.15,6.03048,18.09144,0,0,18.09144
